fuel_type,state,count
CNG,AK,1
ELEC,AK,39
LPG,AK,1
E85,AK,0
LNG,AK,0
BD,AK,0
BD,AL,9
CNG,AL,30
E85,AL,30
ELEC,AL,243
LNG,AL,2
LPG,AL,24
BD,AR,2
CNG,AR,16
E85,AR,49
ELEC,AR,122
LPG,AR,9
LNG,AR,0
BD,AZ,74
CNG,AZ,30
E85,AZ,18
ELEC,AZ,774
LNG,AZ,7
LPG,AZ,33
BD,CA,20
CNG,CA,324
E85,CA,196
ELEC,CA,13481
LNG,CA,41
LPG,CA,115
BD,CO,6
CNG,CO,33
E85,CO,88
ELEC,CO,1399
LPG,CO,25
LNG,CO,0
BD,CT,1
CNG,CT,17
E85,CT,3
ELEC,CT,484
LPG,CT,10
LNG,CT,0
BD,DC,7
CNG,DC,2
E85,DC,3
ELEC,DC,264
LPG,DC,0
LNG,DC,0
CNG,DE,2
E85,DE,1
ELEC,DE,86
LPG,DE,7
BD,DE,0
LNG,DE,0
BD,FL,7
CNG,FL,56
E85,FL,93
ELEC,FL,2258
LNG,FL,3
LPG,FL,74
BD,GA,3
CNG,GA,51
E85,GA,65
ELEC,GA,1462
LNG,GA,4
LPG,GA,38
BD,HI,7
E85,HI,1
ELEC,HI,381
LPG,HI,1
LNG,HI,0
CNG,HI,0
BD,IA,10
CNG,IA,12
E85,IA,329
ELEC,IA,219
LPG,IA,14
LNG,IA,0
CNG,ID,11
E85,ID,5
ELEC,ID,135
LPG,ID,10
BD,ID,0
LNG,ID,0
BD,IL,20
CNG,IL,40
E85,IL,288
ELEC,IL,958
LNG,IL,2
LPG,IL,43
BD,IN,3
CNG,IN,32
E85,IN,235
ELEC,IN,319
LNG,IN,1
LPG,IN,24
BD,KS,1
CNG,KS,21
E85,KS,57
ELEC,KS,465
LNG,KS,1
LPG,KS,6
BD,KY,3
CNG,KY,9
E85,KY,71
ELEC,KY,166
LNG,KY,1
LPG,KY,4
BD,LA,1
CNG,LA,22
E85,LA,22
ELEC,LA,153
LNG,LA,1
LPG,LA,12
BD,MA,8
CNG,MA,13
E85,MA,7
ELEC,MA,1682
LNG,MA,1
LPG,MA,19
BD,MD,5
CNG,MD,12
E85,MD,43
ELEC,MD,1101
LPG,MD,18
LNG,MD,0
BD,ME,1
CNG,ME,2
ELEC,ME,255
LPG,ME,2
LNG,ME,0
E85,ME,0
BD,MI,10
CNG,MI,25
E85,MI,245
ELEC,MI,760
LPG,MI,33
LNG,MI,0
BD,MN,157
CNG,MN,23
E85,MN,426
ELEC,MN,501
LPG,MN,25
LNG,MN,0
BD,MO,2
CNG,MO,20
E85,MO,116
ELEC,MO,996
LNG,MO,1
LPG,MO,23
BD,MS,1
CNG,MS,7
E85,MS,3
ELEC,MS,103
LNG,MS,2
LPG,MS,16
CNG,MT,1
E85,MT,1
ELEC,MT,66
LPG,MT,16
LNG,MT,0
BD,MT,0
BD,NC,107
CNG,NC,38
E85,NC,98
ELEC,NC,956
LNG,NC,1
LPG,NC,19
BD,ND,1
CNG,ND,1
E85,ND,43
ELEC,ND,50
LPG,ND,5
LNG,ND,0
BD,NE,3
CNG,NE,10
E85,NE,88
ELEC,NE,145
LNG,NE,1
LPG,NE,7
BD,NH,2
CNG,NH,4
ELEC,NH,142
LPG,NH,8
LNG,NH,0
E85,NH,0
BD,NJ,3
CNG,NJ,28
E85,NJ,5
ELEC,NJ,678
LPG,NJ,7
LNG,NJ,0
BD,NM,1
CNG,NM,11
E85,NM,16
ELEC,NM,155
LNG,NM,1
LPG,NM,34
BD,NV,1
CNG,NV,6
E85,NV,11
ELEC,NV,399
LPG,NV,11
LNG,NV,0
BD,NY,29
CNG,NY,61
E85,NY,81
ELEC,NY,2567
LPG,NY,17
BD,NY,0
BD,OH,10
CNG,OH,53
E85,OH,196
ELEC,OH,820
LNG,OH,3
LPG,OH,27
BD,OK,1
CNG,OK,116
E85,OK,72
ELEC,OK,294
LPG,OK,32
LNG,OK,0
BD,OR,37
CNG,OR,15
E85,OR,4
ELEC,OR,880
LNG,OR,2
LPG,OR,29
BD,PA,4
CNG,PA,89
E85,PA,147
ELEC,PA,981
LNG,PA,3
LPG,PA,40
ELEC,PR,4
BD,PR,0
CNG,PR,0
E85,PR,0
LNG,PR,0
LPG,PR,0
BD,RI,3
CNG,RI,3
ELEC,RI,219
LPG,RI,3
E85,RI,0
LNG,RI,0
BD,SC,32
CNG,SC,11
E85,SC,47
ELEC,SC,362
LNG,SC,1
LPG,SC,23
E85,SD,80
ELEC,SD,48
LPG,SD,7
BD,SD,0
LNG,SD,0
CNG,SD,0
BD,TN,9
CNG,TN,21
E85,TN,89
ELEC,TN,662
LNG,TN,4
LPG,TN,23
BD,TX,18
CNG,TX,110
E85,TX,254
ELEC,TX,2083
LNG,TX,15
LPG,TX,174
BD,UT,1
CNG,UT,46
E85,UT,1
ELEC,UT,800
LPG,UT,22
LNG,UT,0
BD,VA,3
CNG,VA,23
E85,VA,63
ELEC,VA,940
LPG,VA,36
LNG,VA,0
BD,VT,2
CNG,VT,3
ELEC,VT,289
LNG,VT,0
BD,VT,0
E85,VT,0
BD,WA,32
CNG,WA,25
E85,WA,12
ELEC,WA,1610
LNG,WA,1
LPG,WA,52
BD,WI,4
CNG,WI,44
E85,WI,256
ELEC,WI,369
LNG,WI,1
LPG,WI,17
CNG,WV,3
E85,WV,38
ELEC,WV,95
LPG,WV,5
LNG,WV,0
BD,WV,0
CNG,WY,8
E85,WY,8
ELEC,WY,61
LPG,WY,6
LNG,WY,0
BD,WY,0
