state,car_condition,count
AK,excellent,1899
AK,good,1010
AK,like new,663
AK,fair,166
AK,new,9
AL,good,2455
AL,excellent,1949
AL,like new,586
AL,fair,135
AL,new,20
AL,salvage,7
AR,good,1911
AR,excellent,1571
AR,like new,791
AR,fair,73
AR,new,9
AR,salvage,8
AZ,good,3583
AZ,excellent,3249
AZ,like new,721
AZ,fair,186
AZ,new,27
AZ,salvage,13
CA,excellent,23181
CA,good,17572
CA,like new,4330
CA,fair,912
CA,salvage,302
CA,new,196
CO,good,5170
CO,excellent,4606
CO,like new,475
CO,fair,353
CO,new,36
CO,salvage,36
CT,good,2515
CT,excellent,2065
CT,like new,486
CT,fair,186
CT,new,43
CT,salvage,6
DC,good,1379
DC,excellent,1076
DC,like new,214
DC,fair,64
DC,new,1
DC,salvage,1
DE,good,463
DE,excellent,330
DE,like new,55
DE,fair,18
DE,new,1
DE,salvage,1
FL,excellent,13413
FL,good,9328
FL,like new,3172
FL,fair,646
FL,new,188
FL,salvage,40
GA,good,3658
GA,excellent,2165
GA,like new,483
GA,fair,170
GA,new,16
GA,salvage,9
HI,excellent,1276
HI,good,1034
HI,like new,272
HI,fair,80
HI,new,76
HI,salvage,6
IA,excellent,4585
IA,good,3405
IA,like new,434
IA,fair,228
IA,new,30
IA,salvage,18
ID,excellent,4550
ID,good,3032
ID,like new,675
ID,fair,314
ID,new,75
ID,salvage,26
IL,good,4270
IL,excellent,4062
IL,like new,874
IL,fair,335
IL,new,47
IL,salvage,8
IN,good,3358
IN,excellent,2322
IN,like new,574
IN,fair,153
IN,salvage,9
IN,new,7
KS,good,2532
KS,excellent,2338
KS,like new,786
KS,fair,134
KS,salvage,22
KS,new,1
KY,good,2200
KY,excellent,1666
KY,like new,441
KY,fair,99
KY,salvage,17
KY,new,2
LA,good,1580
LA,excellent,1162
LA,like new,294
LA,fair,109
LA,new,18
LA,salvage,15
MA,excellent,3573
MA,good,2912
MA,like new,1144
MA,fair,217
MA,new,68
MA,salvage,29
MD,good,2254
MD,excellent,1320
MD,like new,278
MD,fair,146
MD,new,44
MD,salvage,13
ME,excellent,1348
ME,good,566
ME,like new,443
ME,fair,180
ME,new,16
ME,salvage,2
MI,good,8789
MI,excellent,7164
MI,like new,1102
MI,fair,592
MI,new,62
MI,salvage,59
MN,excellent,3715
MN,good,3568
MN,like new,638
MN,fair,328
MN,new,50
MN,salvage,12
MO,good,2533
MO,excellent,2052
MO,like new,369
MO,fair,137
MO,new,51
MO,salvage,7
MS,good,587
MS,excellent,575
MS,like new,128
MS,fair,39
MS,new,11
MS,salvage,4
MT,excellent,3675
MT,good,2166
MT,like new,901
MT,fair,267
MT,new,59
MT,salvage,51
NC,good,7481
NC,excellent,5567
NC,like new,1477
NC,fair,433
NC,salvage,96
NC,new,60
ND,excellent,345
ND,good,120
ND,like new,60
ND,fair,6
ND,new,2
ND,salvage,1
NE,good,792
NE,excellent,659
NE,like new,183
NE,fair,127
NE,new,101
NE,salvage,5
NH,excellent,1372
NH,good,859
NH,like new,299
NH,fair,109
NH,new,20
NH,salvage,3
NJ,good,3997
NJ,excellent,3724
NJ,like new,943
NJ,fair,314
NJ,new,96
NJ,salvage,24
NM,good,1940
NM,excellent,1350
NM,like new,286
NM,fair,88
NM,salvage,77
NM,new,12
NV,excellent,1307
NV,good,1027
NV,like new,299
NV,fair,71
NV,new,9
NV,salvage,2
NY,good,7881
NY,excellent,7695
NY,like new,2110
NY,fair,620
NY,new,107
NY,salvage,20
OH,good,7741
OH,excellent,7133
OH,like new,1162
OH,fair,506
OH,new,57
OH,salvage,44
OK,excellent,3241
OK,good,2054
OK,like new,718
OK,fair,79
OK,new,21
OK,salvage,13
OR,excellent,8595
OR,good,5433
OR,like new,1424
OR,fair,585
OR,salvage,100
OR,new,44
PA,good,6201
PA,excellent,4186
PA,like new,1071
PA,fair,450
PA,new,73
PA,salvage,32
RI,good,1016
RI,excellent,861
RI,like new,430
RI,fair,57
RI,new,12
RI,salvage,6
SC,good,3806
SC,excellent,2166
SC,like new,533
SC,fair,223
SC,new,57
SC,salvage,14
SD,excellent,860
SD,good,611
SD,like new,205
SD,fair,94
SD,new,18
SD,salvage,13
TN,good,5334
TN,excellent,4171
TN,like new,852
TN,fair,235
TN,new,59
TN,salvage,7
TX,excellent,9471
TX,good,8525
TX,like new,3463
TX,fair,593
TX,new,237
TX,salvage,38
UT,excellent,577
UT,good,302
UT,like new,227
UT,fair,25
UT,new,5
VA,excellent,4818
VA,good,4450
VA,like new,896
VA,fair,289
VA,new,51
VA,salvage,33
VT,excellent,1258
VT,good,1013
VT,like new,247
VT,fair,93
VT,new,5
VT,salvage,3
WA,excellent,5887
WA,good,4573
WA,fair,652
WA,like new,625
WA,new,227
WA,salvage,77
WI,excellent,5479
WI,good,5204
WI,like new,1121
WI,fair,455
WI,new,38
WI,salvage,13
WV,good,535
WV,excellent,235
WV,like new,106
WV,fair,21
WV,salvage,2
WY,excellent,442
WY,good,421
WY,like new,85
WY,fair,29
WY,new,2
WY,salvage,2
