state,drive,count
AK,4wd,2415
AK,fwd,1225
AK,rwd,107
AL,fwd,1883
AL,4wd,1652
AL,rwd,1617
AR,4wd,1853
AR,fwd,1696
AR,rwd,814
AZ,fwd,3306
AZ,4wd,2468
AZ,rwd,2005
CA,fwd,21173
CA,4wd,14285
CA,rwd,11035
CO,4wd,6078
CO,fwd,3663
CO,rwd,935
CT,4wd,2618
CT,fwd,2126
CT,rwd,557
DC,fwd,1354
DC,4wd,929
DC,rwd,452
DE,4wd,363
DE,fwd,326
DE,rwd,179
FL,fwd,12117
FL,4wd,7791
FL,rwd,6879
GA,fwd,2470
GA,rwd,2073
GA,4wd,1958
HI,fwd,1422
HI,rwd,674
HI,4wd,648
IA,4wd,4273
IA,fwd,3618
IA,rwd,809
ID,4wd,5569
ID,fwd,2559
ID,rwd,544
IL,fwd,4142
IL,4wd,3926
IL,rwd,1528
IN,fwd,2662
IN,4wd,2661
IN,rwd,1100
KS,4wd,2535
KS,fwd,2236
KS,rwd,1042
KY,4wd,1815
KY,fwd,1745
KY,rwd,865
LA,fwd,1204
LA,rwd,1084
LA,4wd,890
MA,4wd,4253
MA,fwd,2776
MA,rwd,914
MD,4wd,1787
MD,fwd,1553
MD,rwd,715
ME,4wd,1678
ME,fwd,755
ME,rwd,122
MI,4wd,9119
MI,fwd,6477
MI,rwd,2172
MN,4wd,4531
MN,fwd,3178
MN,rwd,602
MO,fwd,2193
MO,4wd,2167
MO,rwd,789
MS,fwd,536
MS,4wd,416
MS,rwd,392
MT,4wd,5021
MT,fwd,1676
MT,rwd,422
NC,4wd,6107
NC,fwd,5708
NC,rwd,3299
ND,4wd,354
ND,fwd,98
ND,rwd,82
NE,4wd,1116
NE,fwd,593
NE,rwd,158
NH,4wd,1690
NH,fwd,754
NH,rwd,218
NJ,fwd,3971
NJ,4wd,3751
NJ,rwd,1376
NM,fwd,1594
NM,4wd,1483
NM,rwd,676
NV,fwd,1202
NV,rwd,833
NV,4wd,680
NY,4wd,9215
NY,fwd,6493
NY,rwd,2725
OH,fwd,7143
OH,4wd,7125
OH,rwd,2375
OK,4wd,2395
OK,fwd,2304
OK,rwd,1427
OR,4wd,9464
OR,fwd,5376
OR,rwd,1341
PA,4wd,5843
PA,fwd,4506
PA,rwd,1664
RI,4wd,1243
RI,fwd,854
RI,rwd,285
SC,fwd,2544
SC,4wd,2379
SC,rwd,1876
SD,4wd,980
SD,fwd,658
SD,rwd,163
TN,fwd,4454
TN,4wd,3835
TN,rwd,2369
TX,fwd,8921
TX,4wd,7105
TX,rwd,6301
UT,4wd,597
UT,fwd,410
UT,rwd,129
VA,4wd,4397
VA,fwd,4389
VA,rwd,1751
VT,4wd,1611
VT,fwd,829
VT,rwd,179
WA,4wd,7995
WA,fwd,3040
WA,rwd,1006
WI,4wd,6046
WI,fwd,4849
WI,rwd,1415
WV,4wd,501
WV,fwd,215
WV,rwd,183
WY,4wd,649
WY,fwd,239
WY,rwd,93
