,state,diesel,electric,gas,hybrid,other
0,AK,395.0,19.0,3138.0,42.0,153.0
1,AL,286.0,24.0,4723.0,49.0,70.0
2,AR,299.0,20.0,3463.0,31.0,550.0
3,AZ,395.0,56.0,6634.0,134.0,560.0
4,CA,2538.0,461.0,40584.0,1206.0,1704.0
5,CO,658.0,61.0,9191.0,207.0,559.0
6,CT,233.0,21.0,4888.0,40.0,119.0
7,DC,67.0,21.0,2479.0,55.0,113.0
8,DE,85.0,5.0,728.0,11.0,39.0
9,FL,1484.0,130.0,23915.0,305.0,953.0
10,GA,284.0,39.0,5885.0,76.0,217.0
11,HI,32.0,44.0,2549.0,98.0,21.0
12,IA,437.0,24.0,7890.0,102.0,247.0
13,ID,793.0,32.0,7422.0,99.0,326.0
14,IL,456.0,43.0,8727.0,120.0,250.0
15,IN,339.0,60.0,5814.0,54.0,156.0
16,KS,335.0,17.0,5142.0,60.0,259.0
17,KY,209.0,17.0,4076.0,38.0,85.0
18,LA,235.0,11.0,2544.0,20.0,368.0
19,MA,239.0,41.0,7244.0,104.0,315.0
20,MD,310.0,35.0,3494.0,41.0,175.0
21,ME,135.0,4.0,2220.0,59.0,137.0
22,MI,598.0,62.0,16562.0,94.0,452.0
23,MN,291.0,24.0,7679.0,90.0,227.0
24,MO,252.0,31.0,4414.0,67.0,385.0
25,MS,131.0,4.0,1079.0,15.0,115.0
26,MT,701.0,9.0,6128.0,68.0,213.0
27,NC,939.0,38.0,13487.0,179.0,471.0
28,ND,61.0,5.0,464.0,3.0,1.0
29,NE,58.0,8.0,1750.0,25.0,26.0
30,NH,132.0,8.0,2393.0,29.0,100.0
31,NJ,361.0,52.0,8388.0,123.0,174.0
32,NM,266.0,61.0,3181.0,50.0,195.0
33,NV,119.0,20.0,2418.0,69.0,89.0
34,NY,762.0,101.0,16922.0,159.0,489.0
35,OH,522.0,82.0,15139.0,156.0,744.0
36,OK,513.0,37.0,5332.0,44.0,200.0
37,OR,2065.0,94.0,13166.0,344.0,512.0
38,PA,713.0,49.0,10615.0,159.0,477.0
39,RI,76.0,17.0,2169.0,49.0,71.0
40,SC,376.0,43.0,6100.0,75.0,205.0
41,SD,128.0,6.0,1578.0,13.0,76.0
42,TN,599.0,54.0,9598.0,118.0,289.0
43,TX,2127.0,80.0,18598.0,193.0,1329.0
44,UT,126.0,9.0,945.0,25.0,31.0
45,VA,502.0,22.0,9508.0,189.0,316.0
46,VT,141.0,10.0,2327.0,65.0,76.0
47,WA,1077.0,54.0,10502.0,178.0,230.0
48,WI,510.0,54.0,11314.0,153.0,279.0
49,WV,110.0,,726.0,10.0,53.0
50,WY,135.0,5.0,784.0,18.0,39.0
