state,fuel,count
AK,gas,3138
AK,diesel,395
AK,other,153
AK,hybrid,42
AK,electric,19
AL,gas,4723
AL,diesel,286
AL,other,70
AL,hybrid,49
AL,electric,24
AR,gas,3463
AR,other,550
AR,diesel,299
AR,hybrid,31
AR,electric,20
AZ,gas,6634
AZ,other,560
AZ,diesel,395
AZ,hybrid,134
AZ,electric,56
CA,gas,40584
CA,diesel,2538
CA,other,1704
CA,hybrid,1206
CA,electric,461
CO,gas,9191
CO,diesel,658
CO,other,559
CO,hybrid,207
CO,electric,61
CT,gas,4888
CT,diesel,233
CT,other,119
CT,hybrid,40
CT,electric,21
DC,gas,2479
DC,other,113
DC,diesel,67
DC,hybrid,55
DC,electric,21
DE,gas,728
DE,diesel,85
DE,other,39
DE,hybrid,11
DE,electric,5
FL,gas,23915
FL,diesel,1484
FL,other,953
FL,hybrid,305
FL,electric,130
GA,gas,5885
GA,diesel,284
GA,other,217
GA,hybrid,76
GA,electric,39
HI,gas,2549
HI,hybrid,98
HI,electric,44
HI,diesel,32
HI,other,21
IA,gas,7890
IA,diesel,437
IA,other,247
IA,hybrid,102
IA,electric,24
ID,gas,7422
ID,diesel,793
ID,other,326
ID,hybrid,99
ID,electric,32
IL,gas,8727
IL,diesel,456
IL,other,250
IL,hybrid,120
IL,electric,43
IN,gas,5814
IN,diesel,339
IN,other,156
IN,electric,60
IN,hybrid,54
KS,gas,5142
KS,diesel,335
KS,other,259
KS,hybrid,60
KS,electric,17
KY,gas,4076
KY,diesel,209
KY,other,85
KY,hybrid,38
KY,electric,17
LA,gas,2544
LA,other,368
LA,diesel,235
LA,hybrid,20
LA,electric,11
MA,gas,7244
MA,other,315
MA,diesel,239
MA,hybrid,104
MA,electric,41
MD,gas,3494
MD,diesel,310
MD,other,175
MD,hybrid,41
MD,electric,35
ME,gas,2220
ME,other,137
ME,diesel,135
ME,hybrid,59
ME,electric,4
MI,gas,16562
MI,diesel,598
MI,other,452
MI,hybrid,94
MI,electric,62
MN,gas,7679
MN,diesel,291
MN,other,227
MN,hybrid,90
MN,electric,24
MO,gas,4414
MO,other,385
MO,diesel,252
MO,hybrid,67
MO,electric,31
MS,gas,1079
MS,diesel,131
MS,other,115
MS,hybrid,15
MS,electric,4
MT,gas,6128
MT,diesel,701
MT,other,213
MT,hybrid,68
MT,electric,9
NC,gas,13487
NC,diesel,939
NC,other,471
NC,hybrid,179
NC,electric,38
ND,gas,464
ND,diesel,61
ND,electric,5
ND,hybrid,3
ND,other,1
NE,gas,1750
NE,diesel,58
NE,other,26
NE,hybrid,25
NE,electric,8
NH,gas,2393
NH,diesel,132
NH,other,100
NH,hybrid,29
NH,electric,8
NJ,gas,8388
NJ,diesel,361
NJ,other,174
NJ,hybrid,123
NJ,electric,52
NM,gas,3181
NM,diesel,266
NM,other,195
NM,electric,61
NM,hybrid,50
NV,gas,2418
NV,diesel,119
NV,other,89
NV,hybrid,69
NV,electric,20
NY,gas,16922
NY,diesel,762
NY,other,489
NY,hybrid,159
NY,electric,101
OH,gas,15139
OH,other,744
OH,diesel,522
OH,hybrid,156
OH,electric,82
OK,gas,5332
OK,diesel,513
OK,other,200
OK,hybrid,44
OK,electric,37
OR,gas,13166
OR,diesel,2065
OR,other,512
OR,hybrid,344
OR,electric,94
PA,gas,10615
PA,diesel,713
PA,other,477
PA,hybrid,159
PA,electric,49
RI,gas,2169
RI,diesel,76
RI,other,71
RI,hybrid,49
RI,electric,17
SC,gas,6100
SC,diesel,376
SC,other,205
SC,hybrid,75
SC,electric,43
SD,gas,1578
SD,diesel,128
SD,other,76
SD,hybrid,13
SD,electric,6
TN,gas,9598
TN,diesel,599
TN,other,289
TN,hybrid,118
TN,electric,54
TX,gas,18598
TX,diesel,2127
TX,other,1329
TX,hybrid,193
TX,electric,80
UT,gas,945
UT,diesel,126
UT,other,31
UT,hybrid,25
UT,electric,9
VA,gas,9508
VA,diesel,502
VA,other,316
VA,hybrid,189
VA,electric,22
VT,gas,2327
VT,diesel,141
VT,other,76
VT,hybrid,65
VT,electric,10
WA,gas,10502
WA,diesel,1077
WA,other,230
WA,hybrid,178
WA,electric,54
WI,gas,11314
WI,diesel,510
WI,other,279
WI,hybrid,153
WI,electric,54
WV,gas,726
WV,diesel,110
WV,other,53
WV,hybrid,10
WY,gas,784
WY,diesel,135
WY,other,39
WY,hybrid,18
WY,electric,5
